hazard_exposure,vulnerability,population,accessibility,risk_score,risk_level,priority
25.3,Low,4333,Moderate,35.97,Low,Monitor
45.2,Moderate,426,Moderate,41.64,Moderate,Medium-Term
42.7,Moderate,729,Good,35.57,Low,Monitor
24.9,Very High,1546,Moderate,43.6,Moderate,Medium-Term
18.3,High,4880,Moderate,51.58,Moderate,Medium-Term
44.5,Low,931,Good,24.03,Low,Monitor
74.0,Low,3688,Moderate,53.52,Moderate,Medium-Term
69.9,Low,4402,Poor,60.21,High,Short-Term
54.3,Very High,3980,Good,62.88,High,Short-Term
55.7,Very High,648,Good,46.99,Moderate,Medium-Term
87.8,High,3988,Moderate,76.79,High,Short-Term
24.3,Moderate,1091,Good,25.46,Low,Monitor
57.0,Moderate,3754,Poor,70.66,High,Short-Term
37.3,High,4014,Good,62.14,High,Short-Term
65.6,Very High,1049,Poor,61.05,High,Short-Term
20.2,High,1191,Poor,50.3,Moderate,Medium-Term
1.1,Low,4279,Good,21.8,Low,Monitor
66.6,Low,2584,Good,41.26,Moderate,Medium-Term
24.4,Very High,1849,Good,50.06,Moderate,Medium-Term
47.8,Moderate,911,Good,36.58,Low,Monitor
63.3,Low,1296,Poor,41.62,Moderate,Medium-Term
51.0,Low,4013,Poor,61.99,High,Short-Term
7.3,Moderate,2123,Poor,42.85,Moderate,Medium-Term
84.0,High,1946,Moderate,65.68,High,Short-Term
75.2,Low,2725,Moderate,44.66,Moderate,Medium-Term
67.2,High,3301,Moderate,68.42,High,Short-Term
86.7,Moderate,4026,Poor,81.39,Critical,Immediate
51.0,Very High,1388,Good,56.48,Moderate,Medium-Term
28.8,Low,3645,Poor,37.4,Low,Monitor
6.6,Low,1292,Poor,20.37,Low,Monitor
27.7,High,3905,Poor,65.48,High,Short-Term
